group,source_dir,scene,has_foundation_reference,fixed69_status,height,width,crop_y0,crop_y1,crop_x0,crop_x1,feature_matches,median_vertical_residual_px,p90_vertical_residual_px,geometry_status,igev_ms,las_ms,igev_finite_pct,igev_positive_pct,igev_disp_min,igev_disp_p01,igev_disp_median,igev_disp_p99,igev_disp_max,las_finite_pct,las_positive_pct,las_disp_min,las_disp_p01,las_disp_median,las_disp_p99,las_disp_max,inter_model_mae_px,inter_model_median_px,inter_model_p95_px,inter_model_bad3_pct,inter_model_correlation,igev_epe,igev_d1,igev_bad1,igev_bad2,igev_bad3,igev_valid_pixels,igev_reference_coverage_pct,las_epe,las_d1,las_bad1,las_bad2,las_bad3,las_valid_pixels,las_reference_coverage_pct,igev_cloud_points,igev_cloud_coverage_pct,igev_cloud_z_p01,igev_cloud_z_median,igev_cloud_z_p99,las_cloud_points,las_cloud_coverage_pct,las_cloud_z_p01,las_cloud_z_median,las_cloud_z_p99,end_to_end_ms
luowen,luowen_rectified_images,656565-0010,False,kept,1280,720,234,1052,126,638,142,2.997368812561035,10.16925435066225,warning,114.92342269048095,35.59079533442855,100.0,100.0,25.010257720947266,33.15116100311279,85.85525512695312,95.66216239929199,102.87789916992188,100.0,100.0,41.33525466918945,43.046043395996094,86.09806823730469,93.04377174377441,94.11386108398438,2.6289606948171387,0.38231658935546875,5.378639221191406,10.457575641809292,0.8232441583515251,,,,,,,,,,,,,,,408343,97.49937920232273,22.65478370666504,25.21471405029297,63.319095611572294,408343,97.49937920232273,23.27468608856201,25.103830337524414,50.31032546997071,745.6747479736805
luowen,luowen_rectified_images,656565-0011,False,kept,1280,720,234,1052,126,638,165,3.5284831523895264,21.77925300598141,warning,114.88778004422784,35.6990247964859,100.0,100.0,15.446134567260742,19.39924545288086,94.68862915039062,126.62785644531249,133.8714599609375,100.0,100.0,18.059406280517578,18.89844274520874,120.75546264648438,186.24152908325195,187.98863220214844,30.537360406437465,2.101848602294922,107.26617527008057,48.09033083740831,0.11842920312986058,,,,,,,,,,,,,,,408435,97.52134588936431,17.112267303466798,22.664827346801758,111.35960845947265,408436,97.52158465770171,11.625832128524781,17.811301231384277,61.51804924011267,936.2656031735241
luowen,luowen_rectified_images,656565-0012,False,kept,1280,720,234,1052,126,638,209,2.662055015563965,6.706608009338383,warning,113.91043290495872,36.77189303562045,100.0,100.0,8.707113265991211,31.961898231506346,113.61341857910156,126.61712608337402,128.0146026611328,100.0,100.0,58.64397048950195,98.40621871948242,121.67045593261719,159.3535041809082,162.59841918945312,23.098375597096577,8.165817260742188,75.79336738586426,59.79642611552567,-0.39744456287464197,,,,,,,,,,,,,,,409621,97.80452513753056,17.097349548339842,19.050100326538086,70.39644012451144,409624,97.8052414425428,13.585390148162842,17.90286922454834,22.69802150726339,1065.9932191483676
luowen,luowen_rectified_images,656565-0013,False,kept,1280,720,234,1052,126,638,271,5.682888507843018,8.742011070251465,high_risk,114.1501753591001,37.15149499475956,100.0,100.0,8.751757621765137,28.0838604927063,116.43280029296875,127.20316505432129,142.02490234375,100.0,100.0,64.0099105834961,82.97894172668457,100.787841796875,125.05535888671875,129.0734100341797,15.462579884896542,7.53070068359375,47.46850299835205,69.5661101772616,0.6295033014963786,,,,,,,,,,,,,,,314068,74.98949419315404,17.045094203948974,20.588693618774414,77.48247665405282,314068,74.98949419315404,17.31412061691284,22.73684310913086,26.238191013336188,913.6336231604218
luowen,luowen_rectified_images,656565-0014,False,kept,1280,720,234,1052,126,638,192,1.3464897871017456,5.103786897659302,warning,115.30150193721056,36.48635186254978,100.0,100.0,1.6953941583633423,40.45338459014893,85.19593048095703,101.66747703552247,101.7808837890625,100.0,100.0,37.766929626464844,40.89109058380127,85.41212463378906,101.9122917175293,102.552978515625,1.142082708046093,0.2751045227050781,2.3933963775634766,3.9454080073349633,0.9470761143663206,,,,,,,,,,,,,,,356132,85.03304553789731,21.292420940399168,24.79698371887207,53.431298408508304,356311,85.07578507029339,21.23432025909424,24.679885864257812,53.22999229431156,1285.3262000717223
luowen,luowen_rectified_images,656565-0015,False,kept,1280,720,234,1052,126,638,225,2.8902995586395264,44.05229949951172,warning,116.89651617780328,36.34702693670988,100.0,100.0,52.320674896240234,53.518905830383304,61.373573303222656,84.4794147491455,87.53954315185547,100.0,100.0,51.758602142333984,53.80883903503418,61.26929473876953,84.45946960449218,86.57872772216797,0.5130099421936317,0.19206809997558594,1.6917924880981445,2.2998166259168706,0.9878800781475724,,,,,,,,,,,,,,,411339,98.21472914119805,25.63790946960449,35.33975601196289,40.43322486877441,411339,98.21472914119805,25.633663291931153,35.397884368896484,40.24569496154785,1331.5399382263422
luowen,luowen_rectified_images,656565-0016,False,kept,1280,720,234,1052,126,638,340,2.637803792953491,38.53717231750489,warning,114.46044687181711,35.70857364684343,100.0,100.0,16.292959213256836,16.75417642593384,101.19602966308594,121.11316757202148,123.20153045654297,100.0,100.0,38.379432678222656,39.80684547424316,106.76708984375,138.67048187255858,141.81948852539062,28.32373678059406,1.3900260925292969,118.99721813201904,38.68548479523227,-0.2172902599256129,,,,,,,,,,,,,,,393767,94.01909191625917,17.87821544647217,21.242748260498047,129.21234405517578,393768,94.01933068459658,15.611579380035401,20.119903564453125,45.64500591278077,792.093011084944
luowen,luowen_rectified_images,656565-0017,False,kept,1280,720,234,1052,126,638,151,2.1435546875,24.89561653137207,warning,115.50565017387271,35.99212318658829,100.0,100.0,51.972877502441406,53.11020355224609,73.12013244628906,103.22096290588377,104.80756378173828,100.0,100.0,42.7581901550293,52.86531066894531,72.90061950683594,103.44258499145508,104.79581451416016,1.0050696401804466,0.4542083740234375,3.2172632217407227,5.672180623471883,0.990473873490791,,,,,,,,,,,,,,,355747,84.9411197279951,20.957832527160644,31.930612564086914,40.83838722229004,355747,84.9411197279951,20.905279273986817,31.94027328491211,41.04703308105468,822.5790769793093
luowen,luowen_rectified_images,656565-0018,False,kept,1280,720,234,1052,126,638,205,4.781033039093018,179.19899291992158,warning,115.19727623090148,35.786718130111694,100.0,100.0,35.36463165283203,54.47932109832764,87.99960327148438,126.85271339416504,132.0413055419922,100.0,100.0,57.230159759521484,57.779252243041995,99.93415832519531,161.31296081542962,170.16160583496094,8.711486118720403,1.0632781982421875,43.833269119262695,37.67000305623472,0.8788153297098162,,,,,,,,,,,,,,,416447,99.4343578086797,17.07195602416992,24.638729095458984,39.30870132446289,416447,99.4343578086797,13.420809898376465,21.61372184753418,37.47139839172363,802.4487858638167
luowen,luowen_rectified_images,656565-0019,False,kept,1280,720,234,1052,126,638,104,4.56640625,309.6684600830079,warning,115.21100299432874,35.78079305589199,100.0,100.0,4.7555952072143555,43.345542144775386,79.3964614868164,131.03616104125976,133.7032470703125,100.0,100.0,121.7899398803711,122.71220207214355,150.29653930664062,173.52300567626952,177.52496337890625,58.64372905526392,66.87717819213867,89.85283470153809,94.52766847493888,0.25488990793675526,,,,,,,,,,,,,,,418728,99.97898838630806,16.566078853607177,27.247374534606934,49.41559707641593,418732,99.9799434596577,12.47759651184082,14.405227661132812,17.638481941223144,783.9967459440231
